Name,Taxa,Family,Location,Env,Yield,TSTWT,Protein,Height,DTH
LDRC16_78,EA_729,LDRC16,Spillman,2014,2.306464667,59.53165933,15.64199867,48.10018667,178.0796427
LDRC16_79,EA_730,LDRC16,Spillman,2014,1.970444667,59.73165933,15.94199867,44.10018667,177.0796427
LDRC16_81,EA_731,LDRC16,Spillman,2014,2.105444667,58.43165933,16.34199867,45.10018667,178.0796427
LDRC16_82,EA_732,LDRC16,Spillman,2014,1.682464667,56.73195933,15.74199867,43.10018667,174.0756427
LDRC16_83,EA_733,LDRC16,Spillman,2014,2.060446667,56.63195933,14.54184867,40.10018667,175.0796427
LDRC16_86,EA_734,LDRC16,Spillman,2014,2.231464667,54.43165933,14.64184867,40.10018667,178.0796427
LDRC16_87,EA_735,LDRC16,Spillman,2014,1.910464667,56.83195933,14.14189867,39.10018667,177.0796427
LDRC16_88,EA_736,LDRC16,Spillman,2014,2.618464667,55.83165933,14.34189867,37.10018667,178.0796427
LDRC16_90,EA_737,LDRC16,Spillman,2014,2.212564667,58.03195933,13.94189867,36.10018667,177.0796427
LDRC16_91,EA_738,LDRC16,Spillman,2014,2.162444667,60.63165933,12.54199867,35.10018667,174.0756427
LDRC16_93,EA_739,LDRC16,Spillman,2014,1.970444667,59.33165933,13.34199867,37.10018667,174.0756427
LDRC16_94,EA_740,LDRC16,Spillman,2014,2.089244667,60.63165933,14.34189867,43.10018667,178.0796427
LDRC16_95,EA_741,LDRC16,Spillman,2014,2.171464667,59.43165933,14.54184867,34.10018667,175.0796427
LDRC16_96,EA_742,LDRC16,Spillman,2014,2.189464667,54.63165933,15.34189867,46.10018667,179.0796427
LDRC16_97,EA_743,LDRC16,Spillman,2014,1.634464667,53.73165933,16.64199867,35.10018667,179.0796427
LDRC16_98,EA_744,LDRC16,Spillman,2014,1.943464667,57.33195933,14.24189867,37.10018667,175.0796427
